koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,label,koi_tce_delivname_q1_q17_dr24_tce,koi_tce_delivname_q1_q17_dr25_tce,depth_duration_ratio,insol_prad_ratio,stellar_luminosity_proxy
0,0,0,0,1071.232624,0.0006435,-0.0006435,0.216,0.054,-0.083,420.286557,0.000452,-0.000452,16.1784,0.0498,-0.0498,19046.0,36.1,-36.1,9.27,0.73,-0.28,129.0,0.07,0.01,-0.01,544.2,4799.0,95.0,-95.0,4.631,0.012,-0.048,0.692,0.054,-0.021,292.65842,38.34539,14.023,1,False,True,1177.248604481988,0.007551239746360331,2298.068336
0,1,0,0,1064.2680956,0.0002238,-0.0002238,0.447,0.006,-0.009,144.086072,0.000158,-0.000158,11.5521,0.0164,-0.0164,22772.0,23.4,-23.4,33.63,7.31,-15.81,281.0,1.47,1.01,-1.11,1171.2,6340.0,204.0,-227.0,3.833,0.512,-0.128,2.173,0.472,-1.022,288.25864,43.376465,12.328,0,False,True,1971.2431530853135,0.04371097104635828,29937.029860000002
0,0,0,0,988.8811177,0.0009114,-0.0009114,0.1667,0.1675,-0.1667,239.224189,0.000601,-0.000601,5.9504,0.0444,-0.0444,5060.0,38.9,-38.9,10.81,2.66,-2.05,223.0,0.58,0.4,-0.23,136.4,5755.0,112.0,-112.0,4.101,0.145,-0.129,1.549,0.381,-0.294,291.2012,51.144279,13.293,1,False,False,850.3628578981484,0.05365401908843487,13808.552754999999
0,0,0,0,704.962626,0.00905,-0.00905,0.8495,0.0063,-0.3772,492.77178,0.00398,-0.00398,18.003,0.732,-0.732,2319.1,58.1,-58.1,4.53,0.35,-0.36,178.0,0.24,0.06,-0.05,96.1,5305.0,121.0,-95.0,4.489,0.076,-0.046,0.818,0.062,-0.066,283.25681,45.08778,13.354,1,False,False,128.81741216367203,0.05298012075494023,3549.7028199999995
0,1,0,0,681.9363102,2.993e-05,-2.993e-05,0.828,0.0131,-0.0157,289.0653808,2.11e-05,-2.11e-05,7.94066,0.00192,-0.00192,186530.0,39.5,-39.5,61.52,27.58,-6.07,220.0,0.56,0.72,-0.16,5388.3,6095.0,136.0,-177.0,4.427,0.059,-0.295,1.035,0.464,-0.102,290.12708,40.15947,11.3,0,False,False,23490.487756623785,0.009102730671282012,6529.116375
1,0,0,0,681.01756,0.01934,-0.01934,0.362,0.1142,-0.362,136.3997,0.0241,-0.0241,8.74,1.1,-1.1,133.9,17.3,-17.3,1.69,0.69,-0.48,274.0,1.33,1.65,-0.74,9.2,6295.0,200.0,-219.0,4.091,0.282,-0.225,1.435,0.586,-0.406,293.80481,42.026001,12.119,0,False,False,15.320364379821012,0.7869817828510162,12962.821375000001
1,0,0,0,677.56282,0.03286,-0.03286,0.537,0.438,-0.323,214.2391,0.0445,-0.0445,10.53,2.4,-2.4,631.0,119.0,-119.0,2.24,0.51,-0.27,190.0,0.31,0.22,-0.1,8.5,5511.0,166.0,-166.0,4.477,0.096,-0.144,0.872,0.196,-0.105,290.47623,49.20261,15.721,0,False,True,59.924020899903056,0.1383927953603592,4190.476224
1,0,0,0,677.35794,0.0164,-0.0164,0.8359,0.0063,-0.5877,234.634,0.0248,-0.0248,9.698,0.766,-0.766,322.4,35.3,-35.3,7.12,1.64,-2.95,388.0,5.35,3.71,-3.77,11.2,6335.0,177.0,-229.0,3.593,0.352,-0.352,3.523,0.815,-1.46,291.76938,49.075165,10.808,0,True,False,33.24396440049862,0.7514043888476981,78627.03621500001
0,1,1,0,670.645531,0.001237,-0.001237,0.701,0.004,-0.005,209.04355,0.00157,-0.00157,53.412,0.131,-0.131,18091.0,33.5,-33.5,14.14,2.13,-0.71,196.0,0.35,0.15,-0.06,642.7,5520.0,100.0,-111.0,4.466,0.032,-0.12,0.983,0.148,-0.049,296.69861,49.316479,15.207,0,False,True,338.706651338526,0.024752473496996216,5333.91528
1,0,0,0,659.2907,0.01197,-0.01197,0.982,0.302,-0.042,254.33,0.0171,-0.0171,22.106,0.895,-0.895,338.1,17.3,-17.3,4.66,0.31,-0.32,322.0,2.53,0.5,-0.43,27.0,6917.0,83.0,-83.0,4.05,0.018,-0.018,1.837,0.124,-0.124,294.37708,47.289928,10.629,0,False,True,15.294489491790033,0.5429183384295411,23341.893773
